TERMINO;CORRECCION
con afectación;con_afectacion
con artritis;con_artritis
con destrucción;con_destruccion
con intoxicación;con_intoxicacion
con necrosis;con_necrosis
con penetración;con_penetracion
con pérdida;con_perdida
con retardo;con_retardo
con trastorno;con_trastorno
con ulceración;con_ulceracion
con unión;con_union
sin colisión;sin_colision
sin complicaciones;sin_complicaciones
sin desplazamiento;sin_desplazamiento
sin extensión;sin_extension
sin fractura;sin_fractura
sin penetración;sin_penetracion
con elevación;con_elevación
sin elevación;sin_elevación
no especificado;no_especificado
